month,hof
1,0.995850622
2,1.98758616
3,2.975240481
4,3.958847038
5,4.938438875
6,5.914048631
7,6.88570855
8,7.853450485
9,8.817305907
10,9.777305907
11,10.73348121
12,11.68586216
13,12.63447876
14,13.57936065
15,14.52053712
16,15.45803712
17,16.39188926
18,17.32212182
19,18.24876274
20,19.17183967
21,20.0913799
22,21.00741043
23,21.91995796
24,22.82904887
25,23.73470925
26,24.63696489
27,25.53584129
28,26.43136368
29,27.32355699
30,28.21244588
31,29.09805473
32,29.98040767
33,30.85952855
34,31.73544096
35,32.60816823
36,33.47773345
37,34.34415944
38,35.2074688
39,36.06768385
40,36.92482671
41,37.77891923
42,38.62998306
43,39.4780396
44,40.32311002
45,41.16521529
46,42.00437613
47,42.84061306
48,43.67394639
49,44.50439622
50,45.33198243
51,46.15672469
52,46.9786425
53,47.79775513
54,48.61408166
55,49.42764098
56,50.23845179
57,51.0465326
58,51.85190173
59,52.65457732
60,53.45457732
61,54.25191951
62,55.04662149
63,55.8387007
64,56.62817439
65,57.41505963
66,58.19937336
67,58.98113232
68,59.76035309
69,60.53705212
70,61.31124567
71,62.08294985
72,62.85218062
73,63.61895378
74,64.38328499
75,65.14518976
76,65.90468343
77,66.66178122
78,67.4164982
79,68.1688493
80,68.9188493
81,69.66651285
82,70.41185446
83,71.15488852
84,71.89562926
85,72.6340908
86,73.37028712
87,74.10423207
88,74.83593939
89,75.56542267
90,76.2926954
91,77.01777093
92,77.74066249
93,78.46138321
94,79.17994609
95,79.896364
96,80.61064971
97,81.32281589
98,82.03287506
99,82.74083966
100,83.44672201
101,84.15053433
102,84.85228871
103,85.55199717
104,86.24967159
105,86.94532376
106,87.63896538
107,88.33060803
108,89.0202632
109,89.70794229
110,90.39365657
111,91.07741726
112,91.75923544
113,92.43912212
114,93.11708823
115,93.79314456
116,94.46730187
117,95.13957078
118,95.80996184
119,96.47848551
120,97.14515218
121,97.80997212
122,98.47295555
123,99.13411257
124,99.79345323
125,100.4509875
126,101.1067252
127,101.7606761
128,102.4128501
129,103.0632566
130,103.7119052
131,104.3588055
132,105.0039668
133,105.6473984
134,106.2891096
135,106.9291096
136,107.5674075
137,108.2040123
138,108.8389329
139,109.4721783
140,110.1037572
141,110.7336785
142,111.3619508
143,111.9885826
144,112.6135826
145,113.2369592
146,113.8587209
147,114.4788759
148,115.0974326
149,115.7143992
150,116.3297838
151,116.9435946
152,117.5558395
153,118.1665265
154,118.7756635
155,119.3832585
156,119.9893191
157,120.5938531
158,121.1968682
159,121.7983719
160,122.3983719
161,122.9968757
162,123.5938906
163,124.1894241
164,124.7834835
165,125.3760761
166,125.9672091
167,126.5568897
168,127.145125
169,127.731922
170,128.3172879
171,128.9012295
172,129.4837538
173,130.0648676
174,130.6445777
175,131.222891
176,131.7998141
177,132.3753536
178,132.9495163
179,133.5223087
180,134.0937372
181,134.6638085
182,135.2325289
183,135.7999048
184,136.3659425
185,136.9306484
186,137.4940287
187,138.0560895
188,138.6168372
189,139.1762778
190,139.7344173
191,140.2912619
192,140.8468174
193,141.4010899
194,141.9540853
195,142.5058095
196,143.0562682
197,143.6054673
198,144.1534125
199,144.7001095
200,145.245564
201,145.7897817
202,146.3327682
203,146.8745289
204,147.4150694
205,147.9543953
206,148.4925119
207,149.0294246
208,149.5651389
209,150.0996601
210,150.6329934
211,151.1651442
212,151.6961176
213,152.2259189
214,152.7545533
215,153.2820258
216,153.8083416
217,154.3335057
218,154.8575232
219,155.380399
220,155.9021381
221,156.4227455
222,156.942226
223,157.4605846
224,157.9778259
225,158.493955
226,159.0089764
227,159.5228951
228,160.0357156
229,160.5474427
230,161.058081
231,161.5676351
232,162.0761097
233,162.5835093
234,163.0898384
235,163.5951015
236,164.0993032
237,164.6024479
238,165.1045399
239,165.6055838
240,166.1055838
241,166.6045442
242,167.1024696
243,167.599364
244,168.0952317
245,168.5900771
246,169.0839043
247,169.5767174
248,170.0685207
249,170.5593182
250,171.0491141
251,171.5379125
252,172.0257174
253,172.5125328
254,172.9983628
255,173.4832113
